Shrt_Desc	Water_(g)	Energ_Kcal	Protein_(g)	Lipid_Tot_(g)	Ash_(g)	Carbohydrt_(g)	Fiber_TD_(g)	Sugar_Tot_(g)	Calcium_(mg)	Iron_(mg)	Magnesium_(mg)	Phosphorus_(mg)	Potassium_(mg)	Sodium_(mg)	Zinc_(mg)	Copper_(mg)	Manganese_(mg)	Selenium_(?g)	Vit_C_(mg)	Thiamin_(mg)	Riboflavin_(mg)	Niacin_(mg)	Panto_Acid_(mg)	Vit_B6_(mg)	Folate_Tot_(?g)	Food_Folate_(?g)	Folate_DFE_(?g)	Choline_Tot_(mg)	Vit_B12_(?g)	Vit_A_IU	Vit_A_RAE	Retinol_(?g)	Alpha_Carot_(?g)	Beta_Carot_(?g)	Beta_Crypt_(?g)	Lut_Zea_(?g)	Vit_E_(mg)	Vit_D_?g	Vit_D_IU	Vit_K_(?g)	FA_Sat_(g)	FA_Mono_(g)	FA_Poly_(g)	Cholestrl_(mg)
"CHEESE,BLUE"	42.41	353	21.4	28.74	5.11	2.34	0	0.5	528	0.31	23	387	256	1146	2.66	0.04	0.009	14.5	0	0.029	0.382	1.016	1.729	0.166	36	36	36	15.4	1.22	721	198	192	0	74	0	0	0.25	0.5	21	2.4	18.669	7.778	0.8	75
"CHEESE,BRICK"	41.11	371	23.24	29.68	3.18	2.79	0	0.51	674	0.43	24	451	136	560	2.6	0.024	0.012	14.5	0	0.014	0.351	0.118	0.288	0.065	20	20	20	15.4	1.26	1080	292	286	0	76	0	0	0.26	0.5	22	2.5	18.764	8.598	0.784	94
"CHEESE,BRIE"	48.42	334	20.75	27.68	2.7	0.45	0	0.45	184	0.5	20	188	152	629	2.38	0.019	0.034	14.5	0	0.07	0.52	0.38	0.69	0.235	65	65	65	15.4	1.65	592	174	173	0	9	0	0	0.24	0.5	20	2.3	17.41	8.013	0.826	100
"CHEESE,CAMEMBERT"	51.8	300	19.8	24.26	3.68	0.46	0	0.46	388	0.33	20	347	187	842	2.38	0.021	0.038	14.5	0	0.028	0.488	0.63	1.364	0.227	62	62	62	15.4	1.3	820	241	240	0	12	0	0	0.21	0.4	18	2	15.259	7.023	0.724	72
"CHEESE,CARAWAY"	39.28	376	25.18	29.2	3.28	3.06	0	0	673	0.64	22	490	93	690	2.94	0.024	0.021	14.5	0	0.031	0.45	0.18	0.19	0.074	18	18	18	0	0.27	1054	271	262	0	0	0	0	0	0	0	0	18.584	8.275	0.83	93
"CHEESE,CHEDDAR"	37.02	404	22.87	33.31	3.71	3.09	0	0.48	710	0.14	27	455	76	653	3.64	0.03	0.027	28.5	0	0.029	0.428	0.059	0.41	0.066	27	27	27	16.5	1.1	1242	330	330	0	85	0	0	0.71	0.6	24	2.4	18.867	9.246	1.421	99
"CHEESE,CHESHIRE"	37.65	387	23.37	30.6	3.6	4.78	0	0	643	0.21	21	464	95	700	2.79	0.042	0.012	14.5	0	0.046	0.293	0.08	0.413	0.074	18	18	18	0	0.83	985	233	220	0	0	0	0	0	0	0	0	19.475	8.671	0.87	103
"CHEESE,COLBY"	38.2	394	23.76	32.11	3.36	2.57	0	0.52	685	0.76	26	457	127	604	3.07	0.042	0.012	14.5	0	0.015	0.375	0.093	0.21	0.079	18	18	18	15.4	0.83	994	264	257	0	82	0	0	0.28	0.6	24	2.7	20.218	9.28	0.953	95
"CHEESE,COTTAGE,CRMD,LRG_OR_SML_ CURD"	79.79	98	11.12	4.3	1.41	3.38	0	2.67	83	0.07	8	159	104	364	0.4	0.029	0.002	9.7	0	0.027	0.163	0.099	0.557	0.046	12	12	12	18.4	0.43	140	37	36	0	12	0	0	0.08	0.1	3	0	1.718	0.778	0.123	17
"CHEESE,COTTAGE,CRMD,W/FRUIT"	79.64	97	10.69	3.85	1.2	4.61	0.2	2.38	53	0.16	7	113	90	344	0.33	0.04	0.003	7.7	1.4	0.033	0.142	0.15	0.181	0.068	11	11	11	17.5	0.53	146	38	37	0	14	0	0	0.04	0	0	0.4	2.311	1.036	0.124	13
